[mams-common][${env:SERVER_PORT}] 2021-05-19 12:00:00,953 INFO [main][PostProcessorRegistrationDelegate.java:330] - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$9e8f08c2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[mams-common][${env:SERVER_PORT}] 2021-05-19 12:00:01,243 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 8081 (http)
[mams-common][${env:SERVER_PORT}] 2021-05-19 12:00:01,255 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-8081"]
[mams-common][${env:SERVER_PORT}] 2021-05-19 12:00:01,262 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
[mams-common][${env:SERVER_PORT}] 2021-05-19 12:00:01,263 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
[mams-common][${env:SERVER_PORT}] 2021-05-19 12:00:01,269 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\java\jdk1.8\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;D:\mysql\mysql-8.0.15-winx64\mysql-8.0.15-winx64\bin;D:\java\jdk1.8\bin\;D:\java\jdk1.8\jre\bin\;C:\Users\tcp666\AppData\Local\Microsoft\WindowsApps;;.]
[mams-common][${env:SERVER_PORT}] 2021-05-19 12:00:01,364 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
[mams-common][${env:SERVER_PORT}] 2021-05-19 12:00:01,365 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 1392 ms
[mams-common][${env:SERVER_PORT}] 2021-05-19 12:00:02,055 INFO [main][ExecutorConfigurationSupport.java:171] - Initializing ExecutorService 'applicationTaskExecutor'
[mams-common][${env:SERVER_PORT}] 2021-05-19 12:00:02,137 INFO [main][WelcomePageHandlerMapping.java:56] - Adding welcome page: class path resource [static/index.html]
[mams-common][${env:SERVER_PORT}] 2021-05-19 12:00:02,351 INFO [main][EndpointLinksResolver.java:59] - Exposing 2 endpoint(s) beneath base path '/actuator'
[mams-common][${env:SERVER_PORT}] 2021-05-19 12:00:02,390 INFO [main][DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-8081"]
[mams-common][${env:SERVER_PORT}] 2021-05-19 12:00:02,408 INFO [main][TomcatWebServer.java:204] - Tomcat started on port(s): 8081 (http) with context path ''
[mams-common][${env:SERVER_PORT}] 2021-05-19 12:00:02,411 INFO [main][StartupInfoLogger.java:59] - Started MamsCommonApplication in 3.061 seconds (JVM running for 4.151)
[mams-common][${env:SERVER_PORT}] 2021-05-19 12:00:02,722 INFO [RMI TCP Connection(1)-192.168.1.106][DirectJDKLog.java:173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[mams-common][${env:SERVER_PORT}] 2021-05-19 12:00:02,722 INFO [RMI TCP Connection(1)-192.168.1.106][FrameworkServlet.java:524] - Initializing Servlet 'dispatcherServlet'
[mams-common][${env:SERVER_PORT}] 2021-05-19 12:00:02,728 INFO [RMI TCP Connection(1)-192.168.1.106][FrameworkServlet.java:546] - Completed initialization in 6 ms
[mams-common][${env:SERVER_PORT}] 2021-05-19 12:00:03,131 INFO [RMI TCP Connection(3)-192.168.1.106][HikariDataSource.java:110] - HikariPool-1 - Starting...
[mams-common][${env:SERVER_PORT}] 2021-05-19 12:00:03,515 INFO [RMI TCP Connection(3)-192.168.1.106][HikariDataSource.java:123] - HikariPool-1 - Start completed.
