[mams-school][${env:SERVER_PORT}] 2021-05-25 16:10:46,260 ERROR [http-nio-8082-exec-1][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 16:11:17,763 ERROR [http-nio-8082-exec-7][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 16:28:09,096 ERROR [http-nio-8082-exec-4][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 16:28:12,997 ERROR [http-nio-8082-exec-5][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 16:28:13,626 ERROR [http-nio-8082-exec-6][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 16:29:57,399 ERROR [http-nio-8082-exec-2][SchoolUserController.java:192] - EnrollmentProject(id=18, tutorName=唐财平, tutorId=8, schoolName=西安邮电大学, department=计算机科学与技术, professionName=计算机系统结构, count=200, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=123123413214, signUpType=定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 16:30:04,125 ERROR [http-nio-8082-exec-4][SchoolUserController.java:192] - EnrollmentProject(id=18, tutorName=唐财平, tutorId=8, schoolName=西安邮电大学, department=计算机科学与技术, professionName=计算机系统结构, count=200, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=123123413214, signUpType=定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 16:32:38,018 ERROR [http-nio-8082-exec-6][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 16:34:58,460 ERROR [http-nio-8082-exec-8][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 16:35:08,934 ERROR [http-nio-8082-exec-9][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 16:35:09,088 ERROR [http-nio-8082-exec-10][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 16:35:49,186 ERROR [http-nio-8082-exec-1][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 16:39:53,480 ERROR [http-nio-8082-exec-9][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 16:39:54,162 ERROR [http-nio-8082-exec-10][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 16:39:54,345 ERROR [http-nio-8082-exec-1][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 16:47:55,881 ERROR [http-nio-8082-exec-2][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 16:47:59,074 ERROR [http-nio-8082-exec-4][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
