[mams-school][${env:SERVER_PORT}] 2021-05-25 22:02:29,577 WARN [http-nio-8082-exec-2][AbstractHandlerExceptionResolver.java:197] - Resolved [org.springframework.web.HttpMediaTypeNotSupportedException: Content type 'application/x-www-form-urlencoded;charset=UTF-8' not supported]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:44,656 INFO [main][StartupInfoLogger.java:50] - Starting MamsSchoolApplication on DESKTOP-U5SUJ4I with PID 36796 (D:\graduation\mams\mams-school\target\classes started by tcp666 in D:\graduation\mams)
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:44,664 INFO [main][SpringApplication.java:675] - No active profile set, falling back to default profiles: default
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:45,701 INFO [main][PostProcessorRegistrationDelegate.java:330] - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$565acfcf] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:45,946 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 8082 (http)
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:45,961 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-8082"]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:45,969 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:45,970 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:45,977 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\java\jdk1.8\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;D:\mysql\mysql-8.0.15-winx64\mysql-8.0.15-winx64\bin;D:\java\jdk1.8\bin\;D:\java\jdk1.8\jre\bin\;C:\Users\tcp666\AppData\Local\Microsoft\WindowsApps;;.]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:46,073 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:46,074 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 1377 ms
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:46,805 INFO [main][ExecutorConfigurationSupport.java:171] - Initializing ExecutorService 'applicationTaskExecutor'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:46,885 INFO [main][WelcomePageHandlerMapping.java:56] - Adding welcome page: class path resource [static/index.html]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:47,084 INFO [main][EndpointLinksResolver.java:59] - Exposing 2 endpoint(s) beneath base path '/actuator'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:47,125 INFO [main][DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-8082"]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:47,144 INFO [main][TomcatWebServer.java:204] - Tomcat started on port(s): 8082 (http) with context path ''
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:47,147 INFO [main][StartupInfoLogger.java:59] - Started MamsSchoolApplication in 3.003 seconds (JVM running for 4.08)
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:47,579 INFO [RMI TCP Connection(1)-192.168.1.106][DirectJDKLog.java:173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:47,580 INFO [RMI TCP Connection(1)-192.168.1.106][FrameworkServlet.java:524] - Initializing Servlet 'dispatcherServlet'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:47,587 INFO [RMI TCP Connection(1)-192.168.1.106][FrameworkServlet.java:546] - Completed initialization in 6 ms
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:50:47,850 INFO [RMI TCP Connection(3)-192.168.1.106][HikariDataSource.java:110] - HikariPool-1 - Starting...
