[mams-school][${env:SERVER_PORT}] 2021-05-25 17:01:53,772 ERROR [http-nio-8082-exec-4][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:01:59,803 ERROR [http-nio-8082-exec-5][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:02:00,457 ERROR [http-nio-8082-exec-6][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:02:00,652 ERROR [http-nio-8082-exec-8][SchoolUserController.java:192] - EnrollmentProject(id=19, tutorName=王小二, tutorId=9, schoolName=西安工业大学, department=计算机科学与技术, professionName=计算机软件与理论, count=300, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=9999999999, signUpType=非定向就业, majorCourses1=计算机网络, majorCourses2=计算机组成原理, majorCourses3=数据结构与算法, publicCourses1=英语1, publicCourses2=数学2, publicCourses3=政治, checked=1):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:02:15,339 ERROR [http-nio-8082-exec-9][SchoolUserController.java:192] - EnrollmentProject(id=17, tutorName=唐财平, tutorId=8, schoolName=西安邮电大学, department=, professionName=, count=0, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=, signUpType=定向就业, majorCourses1=, majorCourses2=, majorCourses3=, publicCourses1=, publicCourses2=, publicCourses3=, checked=0):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:02:18,184 ERROR [http-nio-8082-exec-10][SchoolUserController.java:192] - EnrollmentProject(id=17, tutorName=唐财平, tutorId=8, schoolName=西安邮电大学, department=, professionName=, count=0, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=, signUpType=定向就业, majorCourses1=, majorCourses2=, majorCourses3=, publicCourses1=, publicCourses2=, publicCourses3=, checked=0):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:02:18,850 ERROR [http-nio-8082-exec-3][SchoolUserController.java:192] - EnrollmentProject(id=17, tutorName=唐财平, tutorId=8, schoolName=西安邮电大学, department=, professionName=, count=0, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=, signUpType=定向就业, majorCourses1=, majorCourses2=, majorCourses3=, publicCourses1=, publicCourses2=, publicCourses3=, checked=0):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:02:19,059 ERROR [http-nio-8082-exec-1][SchoolUserController.java:192] - EnrollmentProject(id=17, tutorName=唐财平, tutorId=8, schoolName=西安邮电大学, department=, professionName=, count=0, examType=全国统一考试, schoolingType=全日制, education=全日制及非全日制统招普通硕士, contactNumber=, signUpType=定向就业, majorCourses1=, majorCourses2=, majorCourses3=, publicCourses1=, publicCourses2=, publicCourses3=, checked=0):Index: 0, Size: 0
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:02:36,194 WARN [http-nio-8082-exec-4][AbstractHandlerExceptionResolver.java:197] - Resolved [org.springframework.web.HttpMediaTypeNotSupportedException: Content type 'application/x-www-form-urlencoded;charset=UTF-8' not supported]
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:55,782 INFO [main][StartupInfoLogger.java:50] - Starting MamsSchoolApplication on DESKTOP-U5SUJ4I with PID 33508 (D:\graduation\mams\mams-school\target\classes started by tcp666 in D:\graduation\mams)
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:55,827 INFO [main][SpringApplication.java:675] - No active profile set, falling back to default profiles: default
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:56,851 INFO [main][PostProcessorRegistrationDelegate.java:330] - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$9855364c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:57,093 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 8082 (http)
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:57,110 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-8082"]
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:57,120 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:57,121 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:57,128 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\java\jdk1.8\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;D:\mysql\mysql-8.0.15-winx64\mysql-8.0.15-winx64\bin;D:\java\jdk1.8\bin\;D:\java\jdk1.8\jre\bin\;C:\Users\tcp666\AppData\Local\Microsoft\WindowsApps;;.]
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:57,233 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:57,233 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 1369 ms
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:58,037 INFO [main][ExecutorConfigurationSupport.java:171] - Initializing ExecutorService 'applicationTaskExecutor'
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:58,130 INFO [main][WelcomePageHandlerMapping.java:56] - Adding welcome page: class path resource [static/index.html]
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:58,412 INFO [main][EndpointLinksResolver.java:59] - Exposing 2 endpoint(s) beneath base path '/actuator'
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:58,464 INFO [main][DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-8082"]
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:58,486 INFO [main][TomcatWebServer.java:204] - Tomcat started on port(s): 8082 (http) with context path ''
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:58,490 INFO [main][StartupInfoLogger.java:59] - Started MamsSchoolApplication in 3.074 seconds (JVM running for 5.585)
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:58,913 INFO [RMI TCP Connection(1)-192.168.1.106][HikariDataSource.java:110] - HikariPool-1 - Starting...
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:58,913 INFO [RMI TCP Connection(2)-192.168.1.106][DirectJDKLog.java:173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:58,914 INFO [RMI TCP Connection(2)-192.168.1.106][FrameworkServlet.java:524] - Initializing Servlet 'dispatcherServlet'
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:58,921 INFO [RMI TCP Connection(2)-192.168.1.106][FrameworkServlet.java:546] - Completed initialization in 7 ms
[mams-school][${env:SERVER_PORT}] 2021-05-25 17:04:59,430 INFO [RMI TCP Connection(1)-192.168.1.106][HikariDataSource.java:123] - HikariPool-1 - Start completed.
